market_id,question,category,yes_resolved,created_at,closed_time,end_date,volume,volume24hr,volume1wk,volume1mo,last_trade_price,one_day_price_change,one_week_price_change,one_month_price_change
2065985,Total Kills Over/Under 48.5 in Game 2?,Sports,0,2026-04-24T06:50:14.009819Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065986,Total Kills Over/Under 48.5 in Game 1?,Sports,0,2026-04-24T06:50:14.016071Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2070247,Total Kills Over/Under 46.5 in Game 2?,Sports,0,2026-04-24T18:20:20.000721Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2061416,Dota 2: Rune Eaters vs Power Rangers (BO3) - DreamLeague Division 2 Playoffs,Sports,0,2026-04-23T16:40:23.3449Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,17222.687780999997,0.0,0.0,0.0,0.001,-0.3195,0.0,0.0
2061417,Dota 2: Rune Eaters vs Power Rangers - Game 1 Winner,Sports,1,2026-04-23T16:40:23.544172Z,2026-04-25T10:08:22Z,2026-04-24T21:00:00Z,7084.343854000001,0.0,0.0,0.0,0.999,0.4995,0.0,0.0
2061418,Dota 2: Rune Eaters vs Power Rangers - Game 2 Winner,Sports,0,2026-04-23T16:40:23.710045Z,2026-04-25T10:08:22Z,2026-04-24T21:00:00Z,6858.919511999999,0.0,0.0,0.0,0.001,-0.4695,0.0,0.0
2061419,Games Total: O/U 2.5,Sports,1,2026-04-23T16:40:23.887408Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,98.33153300000001,0.0,0.0,0.0,0.999,0.5795,0.0,0.0
2061420,Game Handicap: PR (-1.5) vs Rune Eaters (+1.5),Sports,0,2026-04-23T16:40:24.146553Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,201.10999999999999,0.0,0.0,0.0,0.0,-0.3795,0.0,0.0
2061421,Game 1: Ends in Daytime?,Sports,1,2026-04-23T16:40:24.329001Z,2026-04-25T10:08:22Z,2026-04-24T21:00:00Z,10.58,0.0,0.0,0.0,0.999,0.4945,0.0,0.0
2061422,Game 1: Both Teams Beat Roshan?,Sports,0,2026-04-23T16:40:24.486948Z,2026-04-25T10:08:22Z,2026-04-24T21:00:00Z,5.58,0.0,0.0,0.0,0.0,-0.5045,0.0,0.0
2061423,Game 1: Both Teams Destroy Barracks?,Sports,0,2026-04-23T16:40:24.665014Z,2026-04-25T10:08:22Z,2026-04-24T21:00:00Z,5.05,0.0,0.0,0.0,0.0,-0.5045,0.0,0.0
2061424,Game 1: Any Player Ultra Kill?,Sports,0,2026-04-23T16:40:24.846193Z,2026-04-25T10:08:22Z,2026-04-24T21:00:00Z,5.58,0.0,0.0,0.0,0.0,-0.5045,0.0,0.0
2061425,Game 1: Any Player Rampage?,Sports,0,2026-04-23T16:40:25.017143Z,2026-04-25T10:08:22Z,2026-04-24T21:00:00Z,10.0,0.0,0.0,0.0,0.0,-0.0945,0.0,0.0
2061426,Game 2: Ends in Daytime?,Sports,0,2026-04-23T16:40:25.734595Z,2026-04-25T10:08:22Z,2026-04-24T21:00:00Z,5.58,0.0,0.0,0.0,0.0,-0.5095,0.0,0.0
2061428,Game 2: Both Teams Destroy Barracks?,Sports,0,2026-04-23T16:40:26.15017Z,2026-04-25T10:08:22Z,2026-04-24T21:00:00Z,5.58,0.0,0.0,0.0,0.0,-0.5095,0.0,0.0
2061429,Game 2: Any Player Ultra Kill?,Sports,0,2026-04-23T16:40:26.445051Z,2026-04-25T10:08:22Z,2026-04-24T21:00:00Z,5.58,0.0,0.0,0.0,0.0,-0.5095,0.0,0.0
2061430,Game 2: Any Player Rampage?,Sports,0,2026-04-23T16:40:26.839452Z,2026-04-25T10:08:22Z,2026-04-24T21:00:00Z,64.32,0.0,0.0,0.0,0.0,-0.0945,0.0,0.0
2069952,Game Handicap: RE (-1.5) vs Power Rangers (+1.5),Sports,0,2026-04-24T17:30:23.600443Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,61.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065419,First Blood in Game 1?,Sports,1,2026-04-24T04:20:18.830743Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,60.675244,0.0,0.0,0.0,0.999,0.0,0.0,0.0
2065421,Total Kills Over/Under 49.5 in Game 1?,Sports,0,2026-04-24T04:20:19.037206Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065423,Total Kills Over/Under 51.5 in Game 1?,Sports,0,2026-04-24T04:20:19.219668Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065425,Total Kills Over/Under 53.5 in Game 1?,Sports,0,2026-04-24T04:20:19.439345Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065427,Total Kills Over/Under 50.5 in Game 1?,Sports,0,2026-04-24T04:20:19.624582Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065429,Total Kills Over/Under 52.5 in Game 1?,Sports,0,2026-04-24T04:20:19.808583Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065418,Total Kills Over/Under 53.5 in Game 2?,Sports,0,2026-04-24T04:20:18.828994Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065420,Total Kills Over/Under 49.5 in Game 2?,Sports,0,2026-04-24T04:20:19.015431Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065422,Total Kills Over/Under 52.5 in Game 2?,Sports,0,2026-04-24T04:20:19.195945Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065424,Total Kills Over/Under 50.5 in Game 2?,Sports,0,2026-04-24T04:20:19.417622Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065426,Total Kills Over/Under 51.5 in Game 2?,Sports,0,2026-04-24T04:20:19.600902Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065428,First Blood in Game 2?,Sports,1,2026-04-24T04:20:19.785327Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,5.58,0.0,0.0,0.0,0.999,0.0,0.0,0.0
